Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Arendonk 1;0;0;4;8;2;3;0;0;0;13;29;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Arendonk 2;0;0;4;8;13;67;636;635;1;-51;-35;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Arendonk 2b;0;0;4;8;2;2;0;0;0;14;30;0;2019-08-07;0;0;0;0;Ja;Ja;4;8
Arendonk 3;0;0;4;8;7;15;0;0;0;1;17;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Arendonk 4;0;0;4;8;4;5;0;0;0;11;27;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Banaan;0;0;4;8;1;1;0;0;0;15;31;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Bospoel;0;0;4;8;4;5;0;0;0;11;27;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Driehoek;0;0;4;8;4;5;0;0;0;11;27;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Kasterlee 1;0;0;4;8;5;6;0;0;0;10;26;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Kasterlee 11b;0;0;4;8;1;1;0;0;0;15;31;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 12;0;0;4;8;4;4;0;0;0;12;28;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Kasterlee 13;0;0;4;8;4;5;0;0;0;11;27;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Kasterlee 14;0;0;4;8;4;4;0;0;0;12;28;0;2019-06-25;0;0;0;0;Ja;Ja;4;8
Kasterlee 2;0;0;4;8;5;5;0;0;0;11;27;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Kasterlee 3;0;0;4;8;5;5;0;0;0;11;27;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Kasterlee 7;0;0;4;8;2;2;0;0;0;14;30;0;2019-05-07;0;0;0;0;Ja;Ja;4;8
Moerbeemdweg;0;0;4;8;1;11;1372;1371;1;5;21;1372;2019-07-31;1368;1;0;0;Ja;Ja;4;8
Mol 1;0;0;4;8;2;2;0;0;0;14;30;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 14;0;0;4;8;2;2;0;0;0;14;30;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 3 & 5;0;0;4;8;2;3;0;0;0;13;29;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 34;0;0;4;8;1;1;0;0;0;15;31;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 39;0;0;4;8;1;1;0;0;0;15;31;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 42;0;0;4;8;2;2;0;0;0;14;30;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Mol 43;0;0;4;8;2;3;0;0;0;13;29;0;2019-05-16;0;0;0;0;Ja;Ja;4;8
Natuurpuntpoel;0;0;4;8;4;4;0;0;0;12;28;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Nijlen B1;0;0;4;8;1;2;0;0;0;14;30;0;2019-07-19;0;0;0;0;Ja;Ja;4;8
Nijlen B10;23;598;6;13;13;69;3667;3282;385;-45;-17;94;2019-05-08;22;4;0;0;Ja;Ja;4;8
Nijlen B11;13;338;4;8;2;4;49;48;1;12;28;27;2019-09-27;0;1;6;156;Nee;Nee;4;8
Nijlen B12;0;0;4;8;3;4;0;0;0;12;28;0;2019-05-08;0;0;0;0;Ja;Ja;4;8
Nijlen B13;0;0;4;8;2;5;0;0;0;11;27;0;2019-05-29;0;0;0;0;Ja;Ja;4;8
Nijlen B15;0;0;4;8;1;4;1;0;1;12;28;1;2019-06-06;0;1;0;0;Ja;Ja;4;8
Nijlen B2;0;0;4;8;1;12;0;0;0;4;20;0;2019-06-28;0;0;0;0;Ja;Ja;4;8
Nijlen B3b;0;0;4;8;3;5;1;0;1;11;27;0;2019-05-22;0;0;0;0;Ja;Ja;4;8
Nijlen B4;0;0;4;8;3;8;0;0;0;8;24;0;2019-05-08;0;0;0;0;Ja;Ja;4;8
Nijlen B5;0;0;4;8;1;2;0;0;0;14;30;0;2019-05-22;0;0;0;0;Ja;Ja;4;8
Nijlen B6;0;0;4;8;3;6;0;0;0;10;26;0;2019-05-08;0;0;0;0;Ja;Ja;4;8
Nijlen B7;0;0;4;8;2;3;0;0;0;13;29;0;2019-05-29;0;0;0;0;Ja;Ja;4;8
Nijlen B9;0;0;4;8;5;6;9;8;1;10;26;1;2019-05-08;1;0;2;52;Ja;Nee;4;8
Nijlen D3;0;0;4;8;2;11;0;0;0;5;21;0;2019-07-20;0;0;0;0;Ja;Ja;4;8
Nijlen D5;0;0;4;8;3;26;20;20;0;-10;6;0;2019-06-07;0;0;1;26;Ja;Nee;4;8
Rechthoekigevijver 1;0;0;4;8;4;4;0;0;0;12;28;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 2;0;0;4;8;4;4;0;0;0;12;28;0;2019-05-17;0;0;0;0;Ja;Ja;4;8
Retiebaan 1;0;0;4;8;3;4;0;0;0;12;28;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Retiebaan 2;0;0;4;8;4;6;0;0;0;10;26;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
Scheps 10;0;0;4;8;7;9;5;0;5;7;23;0;2019-06-19;0;0;0;0;Ja;Ja;4;8
Scheps 11;0;0;4;8;2;2;0;0;0;14;30;0;2019-07-17;0;0;0;0;Ja;Ja;4;8
Scheps 2;104;2704;8;15;1;4;978;935;43;28;56;978;2019-09-19;519;43;104;2704;Nee;Nee;8;15
Scheps 20;93;2418;8;15;15;104;1753;1496;257;-72;-44;753;2019-06-19;0;8;1;26;Ja;Nee;4;8
Scheps 6;68;1768;8;15;13;40;544;539;5;-8;20;68;2019-06-19;0;0;2;52;Ja;Nee;4;8
Scheps 7;42;1092;8;15;12;26;654;629;25;6;34;145;2019-06-21;20;0;0;0;Ja;Ja;4;8
Scheps 8;0;0;4;8;5;5;0;0;0;11;27;0;2019-06-19;0;0;0;0;Ja;Ja;4;8
Scheps 9;0;0;4;8;3;3;2;1;1;13;29;2;2019-06-21;1;1;0;0;Ja;Ja;4;8
Watermolen;0;0;4;8;2;2;0;0;0;14;30;0;2019-05-21;0;0;0;0;Ja;Ja;4;8
