Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Arendonk 1;7;182;4;8;11;30;511;505;6;-14;2;7;2016-05-11;0;0;0;0;Ja;Ja;4;8
Arendonk 2;148;3848;8;15;16;77;5983;5915;68;-45;-17;297;2016-04-27;0;0;1;26;Ja;Nee;4;8
Arendonk 2b;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-28;0;0;0;0;Ja;Ja;4;8
Arendonk 3;0;0;4;8;2;5;2;2;0;11;27;0;2016-08-10;0;0;0;0;Ja;Ja;4;8
Arendonk 4;0;0;4;8;2;3;0;0;0;13;29;0;2016-07-13;0;0;0;0;Ja;Ja;4;8
Bospoel;0;0;4;8;4;5;0;0;0;11;27;0;2016-05-19;0;0;0;0;Ja;Ja;4;8
Driehoek;0;0;4;8;3;6;0;0;0;10;26;0;2016-05-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 1;0;0;4;8;5;5;0;0;0;11;27;0;2016-06-08;0;0;0;0;Ja;Ja;4;8
Kasterlee 12;0;0;4;8;4;4;0;0;0;12;28;0;2016-05-12;0;0;0;0;Ja;Ja;4;8
Kasterlee 13;0;0;4;8;5;5;0;0;0;11;27;0;2016-05-11;0;0;0;0;Ja;Ja;4;8
Kasterlee 14;0;0;4;8;7;9;0;0;0;7;23;0;2016-05-12;0;0;0;0;Ja;Ja;4;8
Kasterlee 2;0;0;4;8;5;5;2;0;2;11;27;0;2016-05-12;0;0;0;0;Ja;Ja;4;8
Kasterlee 3;0;0;4;8;7;10;0;0;0;6;22;0;2016-05-11;0;0;0;0;Ja;Ja;4;8
Kasterlee 7;0;0;4;8;7;10;0;0;0;6;22;0;2016-05-11;0;0;0;0;Ja;Ja;4;8
Kasterlee 9;0;0;4;8;6;7;0;0;0;9;25;0;2016-06-08;0;0;0;0;Ja;Ja;4;8
Markmeander;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-28;0;0;0;0;Ja;Ja;4;8
Natuurpuntpoel;0;0;4;8;1;1;0;0;0;15;31;0;2016-08-17;0;0;0;0;Ja;Ja;4;8
Nijlen B12;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-20;0;0;0;0;Ja;Ja;4;8
Nijlen B13;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-21;0;0;0;0;Ja;Ja;4;8
Nijlen B14;0;0;4;8;1;2;0;0;0;14;30;0;2016-10-20;0;0;0;0;Ja;Ja;4;8
Nijlen B3a;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-20;0;0;0;0;Ja;Ja;4;8
Nijlen B3b;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-19;0;0;0;0;Ja;Ja;4;8
Nijlen B4;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-21;0;0;0;0;Ja;Ja;4;8
Nijlen B5;0;0;4;8;1;1;1;0;1;15;31;1;2016-10-21;0;1;0;0;Ja;Ja;4;8
Nijlen B6;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-21;0;0;0;0;Ja;Ja;4;8
Nijlen B7;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-21;0;0;0;0;Ja;Ja;4;8
Nijlen B9;0;0;4;8;1;1;0;0;0;15;31;0;2016-10-19;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 1;0;0;4;8;4;7;11;11;0;9;25;0;2016-07-15;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 2;0;0;4;8;3;3;0;0;0;13;29;0;2016-07-15;0;0;0;0;Ja;Ja;4;8
