Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Nijlen D1;0;0;4;8;1;8;0;0;0;8;24;0;2020-05-28;0;0;0;0;Ja;Ja;4;8
Nijlen D2;0;0;4;8;2;2;0;0;0;14;30;0;2020-05-28;0;0;0;0;Ja;Ja;4;8
Nijlen D3;0;0;4;8;2;7;0;0;0;9;25;0;2020-08-21;0;0;0;0;Ja;Ja;4;8
Nijlen D5;0;0;4;8;1;8;0;0;0;8;24;0;2020-08-21;0;0;0;0;Ja;Ja;4;8
Nijlen G2;0;0;4;8;2;24;0;0;0;-8;8;0;2020-07-04;0;0;0;0;Ja;Ja;4;8
Nijlen G8;0;0;4;8;4;16;0;0;0;0;16;0;2020-06-27;0;0;0;0;Ja;Ja;4;8
Nijlen L10;0;0;4;8;3;12;0;0;0;4;20;0;2020-06-26;0;0;0;0;Ja;Ja;4;8
Nijlen L3;0;0;4;8;3;12;0;0;0;4;20;0;2020-06-27;0;0;0;0;Ja;Ja;4;8
Nijlen L9;0;0;4;8;4;48;0;0;0;-32;-16;0;2020-08-01;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 1;0;0;4;8;1;1;0;0;0;15;31;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 2;0;0;4;8;1;1;0;0;0;15;31;0;2020-07-14;0;0;0;0;Ja;Ja;4;8
Retiebaan 1;0;0;4;8;4;6;0;0;0;10;26;0;2020-08-13;0;0;0;0;Ja;Ja;4;8
Retiebaan 2;0;0;4;8;4;7;0;0;0;9;25;0;2020-08-13;0;0;0;0;Ja;Ja;4;8
Retiebaan 3;0;0;4;8;2;2;0;0;0;14;30;0;2020-08-13;0;0;0;0;Ja;Ja;4;8
Scheps 1;0;0;4;8;3;3;2;0;2;13;29;0;2020-07-31;0;0;0;0;Ja;Ja;4;8
Scheps 10;1;26;4;8;4;8;8;2;6;8;24;1;2020-08-14;0;1;0;0;Ja;Ja;4;8
Scheps 12;0;0;4;8;3;6;3;0;3;10;26;1;2020-08-07;0;1;0;0;Ja;Ja;4;8
Scheps 14;0;0;4;8;5;6;0;0;0;10;26;0;2020-08-04;0;0;0;0;Ja;Ja;4;8
Scheps 18;0;0;4;8;4;16;0;0;0;0;16;0;2020-08-07;0;0;0;0;Ja;Ja;4;8
Scheps 19b;0;0;4;8;4;12;10;0;10;4;20;1;2020-08-07;0;1;0;0;Ja;Ja;4;8
Scheps 2;195;5070;13.181999999999999;20.28;5;20;2634;2578;56;32.727999999999994;61.120000000000005;521;2020-08-16;42;10;90;2340;Nee;Nee;8;15
Scheps 20;34;884;6;13;9;40;13112;13036;76;-16;12;1856;2020-08-27;141;13;365;9490;Nee;Nee;24.674;37.96
Scheps 25;0;0;4;8;4;16;0;0;0;0;16;0;2020-08-14;0;0;29;754;Nee;Nee;6;13
Scheps 3;0;0;4;8;4;16;1;0;1;0;16;0;2020-08-15;0;0;0;0;Ja;Ja;4;8
Scheps 9;5;130;4;8;2;6;100;81;19;10;26;88;2020-08-27;0;17;20;520;Nee;Nee;6;13
Thielen;0;0;4;8;1;1;0;0;0;15;31;0;2020-06-25;0;0;0;0;Ja;Ja;4;8
Watermolen;0;0;4;8;2;2;0;0;0;14;30;0;2020-08-13;0;0;0;0;Ja;Ja;4;8
