Location;StartCPUE;StartGSL;MinVangst_Start;MaxVangst_Start;Uitgevoerd;Totaal_FuikDagen;Totale_Vangst;GevangenLarven;GevangenPostMetamorf;Resterend_Min;Resterend_Max;LastCapture;Datum_LastCapture;L00;PostMetamorf2;MeanCPUE;HuidigGSL;MinDoelBereikt;MaxDoelBereikt;MinVangst_Huidig;MaxVangst_Huidig
Arendonk - visput;0;0;4;8;1;4;0;0;0;12;28;0;2018-10-18;0;0;0;0;Ja;Ja;4;8
Arendonk 1;0;0;4;8;2;3;0;0;0;13;29;0;2018-07-26;0;0;0;0;Ja;Ja;4;8
Arendonk 2;72;1872;8;15;42;259.5;16430;16388;42;-227.5;-199.5;8;2018-10-02;1;1;2;52;Ja;Nee;4;8
Arendonk 2b;0;0;4;8;3;4;0;0;0;12;28;0;2018-10-02;0;0;0;0;Ja;Ja;4;8
Arendonk 3;98;2548;8;15;21;122;1872;1715;157;-90;-62;0;2018-10-02;0;0;0;0;Ja;Ja;4;8
Arendonk 4;17;442;4;8;2;4;75;75;0;12;28;21;2018-06-27;21;0;8;208;Nee;Nee;4;8
Banaan;0;0;4;8;1;1;0;0;0;15;31;0;2018-07-04;0;0;0;0;Ja;Ja;4;8
Bospoel;0;0;4;8;5;5;0;0;0;11;27;0;2018-10-12;0;0;0;0;Ja;Ja;4;8
Driehoek;0;0;4;8;4;4;0;0;0;12;28;0;2018-10-12;0;0;0;0;Ja;Ja;4;8
Hoogstraten - Chaamseweg 53;0;0;4;8;1;1;0;0;0;15;31;0;2018-07-04;0;0;0;0;Ja;Ja;4;8
Kasterlee 1;0;0;4;8;4;6;0;0;0;10;26;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 11a;0;0;4;8;1;2;0;0;0;14;30;0;2018-10-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 12;0;0;4;8;5;6;0;0;0;10;26;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 13;0;0;4;8;4;6;0;0;0;10;26;0;2018-08-14;0;0;0;0;Ja;Ja;4;8
Kasterlee 14;0;0;4;8;4;7;2;2;0;9;25;0;2018-08-14;0;0;0;0;Ja;Ja;4;8
Kasterlee 2;0;0;4;8;5;8;0;0;0;8;24;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 3;0;0;4;8;6;10;0;0;0;6;22;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 7;0;0;4;8;4;6;0;0;0;10;26;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Kasterlee 9;0;0;4;8;5;8;0;0;0;8;24;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Mol - Tomaathoek;0;0;4;8;1;1;0;0;0;15;31;0;2018-07-26;0;0;0;0;Ja;Ja;4;8
Natuurpuntpoel;0;0;4;8;4;4;0;0;0;12;28;0;2018-10-12;0;0;0;0;Ja;Ja;4;8
Nijlen A3b;0;0;4;8;2;5;0;0;0;11;27;0;2018-08-29;0;0;0;0;Ja;Ja;4;8
Nijlen B10;0;0;4;8;8;30;7450;7441;9;-14;2;560;2018-09-05;560;0;1;26;Ja;Nee;4;8
Nijlen B12;0;0;4;8;1;3;0;0;0;13;29;0;2018-08-03;0;0;0;0;Ja;Ja;4;8
Nijlen B13;0;0;4;8;2;2;0;0;0;14;30;0;2018-07-20;0;0;0;0;Ja;Ja;4;8
Nijlen B2;0;0;4;8;1;8;0;0;0;8;24;0;2018-08-02;0;0;0;0;Ja;Ja;4;8
Nijlen B3a;0;0;4;8;2;11;0;0;0;5;21;0;2018-06-28;0;0;0;0;Ja;Ja;4;8
Nijlen B3b;0;0;4;8;1;1;0;0;0;15;31;0;2018-08-03;0;0;0;0;Ja;Ja;4;8
Nijlen B4;0;0;4;8;1;3;8;8;0;13;29;8;2018-06-06;8;0;0;0;Ja;Ja;4;8
Nijlen B5;0;0;4;8;1;2;0;0;0;14;30;0;2018-08-03;0;0;0;0;Ja;Ja;4;8
Nijlen B6;0;0;4;8;1;2;0;0;0;14;30;0;2018-08-03;0;0;0;0;Ja;Ja;4;8
Nijlen B9;0;0;4;8;2;2;0;0;0;14;30;0;2018-07-19;0;0;0;0;Ja;Ja;4;8
Nijlen C11;0;0;4;8;3;7;0;0;0;9;25;0;2018-08-31;0;0;0;0;Ja;Ja;4;8
Nijlen C12;0;0;4;8;2;4;2;2;0;12;28;2;2018-09-05;0;0;1;26;Ja;Nee;4;8
Nijlen C13;0;0;4;8;2;4;0;0;0;12;28;0;2018-09-05;0;0;0;0;Ja;Ja;4;8
Nijlen C14;0;0;4;8;2;5;0;0;0;11;27;0;2018-08-30;0;0;0;0;Ja;Ja;4;8
Nijlen C15;0;0;4;8;3;6;0;0;0;10;26;0;2018-08-30;0;0;0;0;Ja;Ja;4;8
Nijlen C16;0;0;4;8;2;4;0;0;0;12;28;0;2018-06-01;0;0;0;0;Ja;Ja;4;8
Nijlen C2;0;0;4;8;1;1;0;0;0;15;31;0;2018-04-25;0;0;0;0;Ja;Ja;4;8
Nijlen C3;0;0;4;8;1;2;0;0;0;14;30;0;2018-07-27;0;0;0;0;Ja;Ja;4;8
Nijlen C5;0;0;4;8;1;4;0;0;0;12;28;0;2018-07-26;0;0;0;0;Ja;Ja;4;8
Nijlen C7;0;0;4;8;2;4;1;0;1;12;28;0;2018-08-31;0;0;0;0;Ja;Ja;4;8
Nijlen C8;0;0;4;8;2;3;0;0;0;13;29;0;2018-08-31;0;0;0;0;Ja;Ja;4;8
Nijlen C9;0;0;4;8;2;4;0;0;0;12;28;0;2018-08-31;0;0;0;0;Ja;Ja;4;8
Nijlen D3;0;0;4;8;4;12;5;5;0;4;20;1;2018-09-05;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 1;0;0;4;8;5;5;0;0;0;11;27;0;2018-10-12;0;0;0;0;Ja;Ja;4;8
Rechthoekigevijver 2;0;0;4;8;5;5;0;0;0;11;27;0;2018-10-12;0;0;0;0;Ja;Ja;4;8
Retiebaan 1;0;0;4;8;3;3;0;0;0;13;29;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Retiebaan 2;0;0;4;8;3;4;0;0;0;12;28;0;2018-09-18;0;0;0;0;Ja;Ja;4;8
Scheps 10;0;0;4;8;7;17;21;0;21;-1;15;1;2018-07-27;0;1;0;0;Ja;Ja;4;8
Scheps 11;0;0;4;8;1;2;0;0;0;14;30;0;2018-07-18;0;0;0;0;Ja;Ja;4;8
Scheps 2;48;1248;8;15;1;6;393;388;5;26;54;393;2018-09-23;103;5;48;1248;Nee;Nee;8;15
Scheps 20;1;26;4;8;10;59;2706;2634;72;-43;-27;603;2018-10-14;0;2;63;1638;Nee;Nee;8;15
Scheps 25;0;0;4;8;1;1;1;0;1;15;31;1;2018-07-18;0;1;0;0;Ja;Ja;4;8
Scheps 6;0;0;4;8;4;8;1;0;1;8;24;1;2018-07-20;0;1;0;0;Ja;Ja;4;8
Scheps 7;0;0;4;8;4;7;0;0;0;9;25;0;2018-07-27;0;0;0;0;Ja;Ja;4;8
Scheps 8;0;0;4;8;5;9;1;0;1;7;23;0;2018-07-27;0;0;0;0;Ja;Ja;4;8
Scheps 9;0;0;4;8;1;1;0;0;0;15;31;0;2018-07-06;0;0;0;0;Ja;Ja;4;8
Watermolen;0;0;4;8;1;1;0;0;0;15;31;0;2018-07-18;0;0;0;0;Ja;Ja;4;8
