UUID;net_verhoogd;hoek;larven;metamorf;adult;post_metamorf;totaal
0d45baef-28d7-4778-ae33-edb2d5d25e12;FALSE;45°;0;0;0;0;0
ab180706-2056-4f83-9e76-d37fcc59bf2c;FALSE;45°;0;5;0;5;5
cb77f7b5-ccee-4fe2-a072-21ba7f7a983f;FALSE;45°;0;0;0;0;0
18be1861-b28a-4d76-98c9-13941999491c;TRUE;00°;0;0;0;0;0
60d770fc-6179-4abf-ade4-9923dcad8195;TRUE;00°;0;0;0;0;0
af2f46aa-326e-4414-9b30-a29cbdf84f84;TRUE;00°;0;0;0;0;0
211fc2c6-526d-47be-9163-67c7dd6a15a4;TRUE;00°;0;0;0;0;0
8453c038-09bd-4f72-90f6-492eb0fc5b74;TRUE;00°;0;0;0;0;0
84c461af-d0b3-4817-9dc6-c525c6494b56;TRUE;00°;0;0;0;0;0
c844ec6f-8cfc-4ced-a52d-d625ed745023;FALSE;45°;0;0;0;0;0
557e10fe-4314-4e3b-92e0-296bdc4f9358;FALSE;45°;0;0;0;0;0
6967b568-9824-4048-a72f-5d78d2197065;FALSE;45°;0;3;0;3;3
dd5d23e7-0510-4f55-a22a-47a2104830bb;FALSE;45°;0;0;0;0;0
86f25eff-9411-4700-b78b-938326cf8793;FALSE;45°;0;0;0;0;0
0fe88942-86a1-43d2-9579-c8e75c0a6dfc;FALSE;45°;0;0;0;0;0
d5eb0ff6-3640-4c27-9570-78a5a363706a;FALSE;45°;4;0;2;2;6
75a3d771-5a2d-46df-bbdc-d4ae110ad410;FALSE;45°;0;0;0;0;0
3616a9ef-47bb-441f-aa45-e03a5fd8e0ee;FALSE;45°;0;0;0;0;0
76730a00-9a4c-4c87-bf3f-104b65db0049;FALSE;45°;0;0;0;0;0
1c2bc8ab-08c6-4e36-bfc4-905e5ca14d72;FALSE;45°;0;4;0;4;4
126aac58-4fdb-4b6e-a33e-0a44cda779f0;FALSE;00°;0;0;0;0;0
fd2dc46b-e844-4bac-8780-242832f63f9c;FALSE;00°;0;0;0;0;0
fd73511f-730c-4685-92d0-ceaf3b986fc5;FALSE;45°;0;0;0;0;0
59aa5c7d-edc6-4edd-80d1-e99a81746342;FALSE;00°;0;0;0;0;0
cdeaa837-3caa-4f27-ba55-d5ea6e0f735c;FALSE;00°;0;0;0;0;0
330f7a3c-41cd-4d60-a91c-17d4c06b533c;NA;45°;0;0;0;0;0
0db6bf16-2dca-4e02-b348-37a2d13300ce;FALSE;45°;0;0;0;0;0
56683e42-0484-4eae-a205-43b6454ae086;FALSE;00°;0;0;0;0;0
66c1cef7-ef32-44be-859f-632ef5b0dc64;TRUE;00°;0;3;0;3;3
911a7b1f-41fa-4827-a2b7-7d4f6a3e2192;TRUE;45°;0;3;0;3;3
b9f4655c-3f46-47e6-9fd9-003ae2740344;TRUE;00°;0;1;0;1;1
bba2543a-8c11-4410-a9c5-b5bd22e0b4a5;TRUE;00°;0;1;0;1;1
87e6452a-4117-405a-a861-d389fa18c1cb;NA;45°;0;1;0;1;1
98008afc-db9d-41f4-9666-d9f3e1cc6563;FALSE;00°;0;0;0;0;0
d7057ed7-83fd-4774-9245-35fd1fe20ff6;FALSE;00°;0;0;0;0;0
e1e7ab81-7518-4e7e-8bfb-d1272197909a;TRUE;00°;0;2;0;2;2
7d47e43d-0f45-4fee-bbf9-2aab9b17f797;TRUE;00°;0;0;0;0;0
545c798e-514b-4fdc-a3e9-e16f9252c036;TRUE;00°;0;0;0;0;0
f5431483-cddf-4f34-a0a2-73e76134f630;TRUE;00°;0;0;0;0;0
c645f2b9-255b-4dc4-bcb6-d21b87b7270f;TRUE;00°;0;0;0;0;0
fba08b0f-5607-49d1-8543-e509087c0330;TRUE;00°;0;0;0;0;0
de0c7388-1a8b-4f3f-a97e-de0f4b5e41d0;TRUE;00°;0;7;0;7;7
409da35c-1143-4f72-8599-3df0675db3fd;TRUE;00°;0;2;0;2;2
e1258f18-5356-4587-9b6b-a58d21e1d33f;TRUE;00°;0;0;0;0;0
0a84388f-62e0-492f-9505-a871affd1c0e;TRUE;00°;0;0;0;0;0
79b6f745-f5e3-4fce-bd50-6e96a6a03994;TRUE;45°;0;2;0;2;2
c7bd2e40-86da-4cab-a8e0-669beaa93e0b;TRUE;45°;0;1;1;2;2
b9d55f5d-f34e-4ae1-894e-685477314c71;TRUE;00°;0;0;0;0;0
16b340d7-f2ac-4a84-957c-36029a53f577;TRUE;00°;0;0;0;0;0
46919f62-1c3a-4fe8-ac4b-7c2e2cd416de;TRUE;00°;0;1;0;1;1
4c1da717-9ed2-4e9d-9fbd-0798aee168fd;TRUE;45°;0;0;0;0;0
a3db5489-9361-4bd3-b49b-959296514fd3;TRUE;00°;0;0;0;0;0
2aded18d-e167-4d8c-924c-7401862fef81;TRUE;00°;0;0;0;0;0
266dcc06-d5d2-4af9-bb37-90d31cff8e4b;TRUE;90°;0;0;0;0;0
bd2ae319-9a42-405d-9a45-64df6f97116d;TRUE;00°;0;0;0;0;0
1f658401-df53-46ae-9f33-55b6b2512591;TRUE;00°;0;0;0;0;0
4d53ee07-9863-4991-bd88-4099bfd01449;TRUE;00°;0;0;0;0;0
3f5e0773-d384-4d63-8326-037e0d3d4eea;TRUE;00°;0;0;0;0;0
9e19d3f9-67d1-4ff0-ad1f-989a2ecf5fc3;TRUE;45°;0;0;0;0;0
60c845b7-6ee6-4b40-a26a-507f44837a4d;TRUE;00°;0;0;0;0;0
85d69f8e-ac25-445d-a5b9-88f891633c13;TRUE;00°;0;1;0;1;1
