link Location Recorder Datum Jaar L00 L0 L1 L2 M1 M2 AM AV Totaal Totaal_Larven.All Totaal_Larven.CPUE Totaal_Juvenielen Totaal_Adulten
"Arendonk 1-2016-07-28" "Arendonk 1" Natuurwerk 2016-07-28T00:00:00Z 2016 NA 1 12 7 1 NA NA 1 22 20 20 1 1
"Arendonk 2-2016-07-29" "Arendonk 2" Natuurwerk 2016-07-29T00:00:00Z 2016 1 155 86 253 32 NA NA NA 527 495 494 32 0
"Arendonk 1-2016-07-29" "Arendonk 1" Natuurwerk 2016-07-29T00:00:00Z 2016 NA NA 2 NA 1 NA NA NA 3 2 2 1 0
"Arendonk 3-2016-08-10" "Arendonk 3" Natuurwerk 2016-08-10T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2016-08-10" "Arendonk 2" Natuurwerk 2016-08-10T00:00:00Z 2016 NA 3 21 132 1 NA NA NA 157 156 156 1 0
"Arendonk 2-2016-08-11" "Arendonk 2" Natuurwerk 2016-08-11T00:00:00Z 2016 NA 10 37 88 5 NA NA NA 140 135 135 5 0
"Arendonk 1-2016-08-11" "Arendonk 1" Natuurwerk 2016-08-11T00:00:00Z 2016 NA NA NA 4 NA NA NA NA 4 4 4 0 0
"Arendonk 2-2016-08-12" "Arendonk 2" Natuurwerk 2016-08-12T00:00:00Z 2016 NA 7 4 31 4 NA NA NA 46 42 42 4 0
"Kasterlee 12-2016-08-10" "Kasterlee 12" Natuurwerk 2016-08-10T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 13-2016-08-10" "Kasterlee 13" Natuurwerk 2016-08-10T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 1-2016-08-11" "Kasterlee 1" Natuurwerk 2016-08-11T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-08-11" "Kasterlee 3" Natuurwerk 2016-08-11T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2016-08-12" "Kasterlee 2" Natuurwerk 2016-08-12T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-08-12" "Kasterlee 7" Natuurwerk 2016-08-12T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2016-08-17" "Kasterlee 9" Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 14-2016-08-17" "Kasterlee 14" Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2016-08-17 Bospoel Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2016-08-17" "Rechthoekigevijver 1" Natuurwerk 2016-08-17T00:00:00Z 2016 5 NA NA NA NA NA NA NA 5 5 0 0 0
"Rechthoekigevijver 2-2016-08-17" "Rechthoekigevijver 2" Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Natuurpuntpoel-2016-08-17 Natuurpuntpoel Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Driehoek-2016-08-17 Driehoek Natuurwerk 2016-08-17T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2016-08-18" "Rechthoekigevijver 1" Natuurwerk 2016-08-18T00:00:00Z 2016 6 NA NA NA NA NA NA NA 6 6 0 0 0
"Kasterlee 14-2016-09-21" "Kasterlee 14" Natuurwerk 2016-09-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 13-2016-09-21" "Kasterlee 13" Natuurwerk 2016-09-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2016-09-21" "Kasterlee 9" Natuurwerk 2016-09-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-09-23" "Kasterlee 7" Natuurwerk 2016-09-23T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 1-2016-09-23" "Kasterlee 1" Natuurwerk 2016-09-23T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2016-09-23" "Kasterlee 2" Natuurwerk 2016-09-23T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-09-23" "Kasterlee 3" Natuurwerk 2016-09-23T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2016-09-21" "Arendonk 2" Natuurwerk 2016-09-21T00:00:00Z 2016 NA 1 1 4 NA NA NA NA 6 6 6 0 0
"Arendonk 1-2016-09-21" "Arendonk 1" Natuurwerk 2016-09-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2016-09-22" "Arendonk 2" Natuurwerk 2016-09-22T00:00:00Z 2016 NA NA 1 4 NA NA NA NA 5 5 5 0 0
"Arendonk 2-2016-09-23" "Arendonk 2" Natuurwerk 2016-09-23T00:00:00Z 2016 NA NA NA 5 NA NA NA NA 5 5 5 0 0
"Kasterlee 14-2016-10-28" "Kasterlee 14" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2016-10-28" "Kasterlee 9" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-10-28" "Kasterlee 7" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-10-28" "Kasterlee 3" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2016-10-28" "Kasterlee 2" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA 1 1 0 0 0 1
"Kasterlee 1-2016-10-26" "Kasterlee 1" Natuurwerk 2016-10-26T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 12-2016-10-26" "Kasterlee 12" Natuurwerk 2016-10-26T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 13-2016-10-26" "Kasterlee 13" Natuurwerk 2016-10-26T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 14-2016-10-27" "Kasterlee 14" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 9-2016-10-27" "Kasterlee 9" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2016-10-27" "Kasterlee 7" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 3-2016-10-27" "Kasterlee 3" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2016-10-27" "Kasterlee 2" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA 1 1 0 0 0 1
"Arendonk 2-2016-10-27" "Arendonk 2" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 1-2016-10-27" "Arendonk 1" Natuurwerk 2016-10-27T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 4-2016-10-28" "Arendonk 4" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 3-2016-10-28" "Arendonk 3" Natuurwerk 2016-10-28T00:00:00Z 2016 2 NA NA NA NA NA NA NA 2 2 0 0 0
"Arendonk 2b-2016-10-28" "Arendonk 2b" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2016-10-28" "Rechthoekigevijver 1" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 2-2016-10-28" "Rechthoekigevijver 2" Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Markmeander-2016-10-28 Markmeander Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2016-10-28 Bospoel Natuurwerk 2016-10-28T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B9-2016-10-19" "Nijlen B9" "Pieter Liekens;Arbeider 1" 2016-10-19T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B3b-2016-10-19" "Nijlen B3b" "Pieter Liekens;Arbeider 1" 2016-10-19T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B14-2016-10-20" "Nijlen B14" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-20T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B3a-2016-10-20" "Nijlen B3a" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-20T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B12-2016-10-20" "Nijlen B12" "Pieter Liekens;Arbeider 1; Arbeider 2" 2016-10-20T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B13-2016-10-21" "Nijlen B13" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B6-2016-10-21" "Nijlen B6" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B7-2016-10-21" "Nijlen B7" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B4-2016-10-21" "Nijlen B4" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-21T00:00:00Z 2016 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B5-2016-10-21" "Nijlen B5" "Pieter Liekens;Arbeider 1; Arbeider 2; Arbeider 3" 2016-10-21T00:00:00Z 2016 NA NA NA NA NA NA NA 1 1 0 0 0 1
"Nijlen C4-2017-05-10" "Nijlen C4" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-10T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen C3-2017-05-10" "Nijlen C3" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-10T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen C5-2017-05-10" "Nijlen C5" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-10T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen C15-2017-05-10" "Nijlen C15" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-10T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
Driehoek-2017-04-19 Driehoek Natuurwerk 2017-04-19T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
Bospoel-2017-04-19 Bospoel Natuurwerk 2017-04-19T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
Banaan-2017-04-25 Banaan Natuurwerk 2017-04-25T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 2-2017-04-25" "Rechthoekigevijver 2" Natuurwerk 2017-04-25T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Rechthoekigevijver 1-2017-04-25" "Rechthoekigevijver 1" Natuurwerk 2017-04-25T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
Natuurpuntpoel-2017-04-25 Natuurpuntpoel Natuurwerk 2017-04-25T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Arendonk 2-2017-04-26" "Arendonk 2" Natuurwerk 2017-04-26T00:00:00Z 2017 NA NA 1 NA NA NA NA NA 1 1 1 0 0
"Arendonk 3-2017-04-26" "Arendonk 3" Natuurwerk 2017-04-26T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 7-2017-04-26" "Kasterlee 7" Natuurwerk 2017-04-26T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Kasterlee 2-2017-04-26" "Kasterlee 2" Natuurwerk 2017-04-26T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 6-2017-05-17" "Scheps 6" Natuurwerk 2017-05-17T00:00:00Z 2017 NA 62 169 NA NA NA NA NA 231 231 231 0 0
"Scheps 7-2017-05-18" "Scheps 7" Natuurwerk 2017-05-18T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 10-2017-06-18" "Scheps 10" Natuurwerk 2017-06-18T00:00:00Z 2017 NA 30 25 7 NA NA NA NA 62 62 62 0 0
"Scheps 6-2017-05-18" "Scheps 6" Natuurwerk 2017-05-18T00:00:00Z 2017 NA 69 56 NA NA NA NA NA 125 125 125 0 0
"Scheps 7-2017-05-19" "Scheps 7" Natuurwerk 2017-05-19T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Scheps 10-2017-05-19" "Scheps 10" Natuurwerk 2017-05-19T00:00:00Z 2017 NA 12 6 1 NA NA NA NA 19 19 19 0 0
"Scheps 6-2017-05-19" "Scheps 6" Natuurwerk 2017-05-19T00:00:00Z 2017 NA 78 59 2 NA NA NA NA 139 139 139 0 0
"Scheps 10-2017-05-26" "Scheps 10" Natuurwerk 2017-05-26T00:00:00Z 2017 NA 11 9 NA NA 6 NA 1 27 20 20 6 1
"Scheps 6-2017-05-26" "Scheps 6" Natuurwerk 2017-05-26T00:00:00Z 2017 NA 46 117 NA NA NA NA NA 163 163 163 0 0
"Scheps 9-2017-05-31" "Scheps 9" Natuurwerk 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen C16-2017-05-10" "Nijlen C16" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-10T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B3b-2017-05-31" "Nijlen B3b" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B6-2017-05-31" "Nijlen B6" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B7-2017-05-31" "Nijlen B7" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B5-2017-05-31" "Nijlen B5" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B4-2017-05-31" "Nijlen B4" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-05-31T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B9-2017-06-01" "Nijlen B9" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-06-01T00:00:00Z 2017 NA NA NA NA NA NA 1 NA 1 0 0 0 1
"Nijlen B3a-2017-06-01" "Nijlen B3a" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-06-01T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B13-2017-06-01" "Nijlen B13" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-06-01T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B2-2017-06-01" "Nijlen B2" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-06-01T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B14-2017-06-01" "Nijlen B14" "Pieter Liekens;Arbeider 1; Arbeider 2" 2017-06-01T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
"Nijlen B1-2017-06-02" "Nijlen B1" "Pieter Liekens;Arbeider 1" 2017-06-02T00:00:00Z 2017 NA NA NA NA NA NA NA NA 0 0 0 0 0
